,dia,isbn,PNL,Titulo,Autor,Chancela,pvp,pvp_livro_do_dia,desconto_livrdia_perc,Participant_Name,stand
0,2021-09-06,9789898809599,,"""Não Sou Dono Da Verdade, Mas Sou Possuído Por Ela",Vários,Lucerna,13.85,6.93,49.96389891696751,Principia | Lucerna,D45
1,2021-09-09,9789898268266,,«Esta Má Fama…»,Guy Debord,Letra Livre,12.0,7.2,40.0,Livraria Letra Livre,D21
2,2021-09-10,9798668539505,,(Quase ) Tudo O Que Precisa De  Saber Sobre O Caminho De Santiago De Compostela,Ego Editora,Ego Editora,15.5,11.0,29.03225806451613,Ego Editora,D08
3,2021-08-28,508733138018,,(Sobre)Viver Na Selva – Luto E Perdas,Ana Santos E Susana Esteves,Ideias Com História,39.9,31.92,19.999999999999993,Ideias Com História,D05
4,2021-09-11,508733138018,,(Sobre)Viver Na Selva – Luto E Perdas,Ana Santos E Susana Esteves,Ideias Com História,39.9,31.92,19.999999999999993,Ideias Com História,D05
5,2021-08-26,9789898268358,,&Etc. Prolegómenos A Uma Editora,Aaavv,Letra Livre,15.0,9.0,40.0,Livraria Letra Livre,D21
6,2021-09-02,9789897543432,,"1,2,3 Uma Colher De Cada Vez","Maria Antonia Pecas, Joao Breda",Marcador Editora,24.9,12.45,50.0,Editorial Presença,B62
7,2021-09-10,5603486240110,,10 Fabulosas Histórias Da Quinta,Yoyo Studios,Yoyo Books,16.65,9.99,39.99999999999999,Yoyobooks,B05
8,2021-09-04,9789899005587,,10 Passos Para Você Se Tornar O Seu Mestre,Izabel Telles,Edições Mahatma,13.0,10.4,20.0,Edições Mahatma,D10
9,2021-09-02,9789897690105,,100 Maneiras De Faze-Los Obedecer,Anne Bacus,Matéria Prima,15.8,9.5,39.87341772151899,Clube Do Autor,A63
10,2021-08-30,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
11,2021-09-04,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
12,2021-09-09,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
13,2021-08-26,9789722353861,✅,1001 Factos Fixes E Bizarros,"Nick Bryant, Ken Singleton, Glen Singleton",Editorial Presença,12.9,6.45,50.0,Editorial Presença,B56
14,2021-09-08,9789726096214,,1001 Maneiras De Recuperar A Saúde,,Selecções,28.85,17.31,40.00000000000001,Vasp Premium,A46
15,2021-08-29,9789899971561,✅,1001 Noites - Vol 1,Anónimo,E-Primatur,22.0,13.0,40.909090909090914,E-Primatur & Bookbuilders,D66
16,2021-09-11,9789899971561,✅,1001 Noites - Vol 1,Anónimo,E-Primatur,22.0,13.0,40.909090909090914,E-Primatur & Bookbuilders,D66
17,2021-09-01,9789898857279,,1001 Piadas Fixes,Glen Singleton,Jacarandá Editora,12.9,6.45,50.0,Editorial Presença,B52
